거래금액,거래유형,건축년도,년,동,등기일자,매도자,매수자,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"37,800",중개거래,1997,2024,,,개인,개인,숭인동,도시그린빌라,4,8,58.79,서울 종로구,181-121,11110,1,,
"35,500",중개거래,2018,2024,,,개인,개인,황학동,위너빌(Winnervill),4,5,28.78,경기 성남시수정구,1200,11140,10,,
"18,500",중개거래,2013,2024,,24.04.08,개인,개인,문배동,용산큐브,4,5,13.01,서울 용산구,24-4,11170,14,,
"53,000",중개거래,2018,2024,,,개인,개인,구의동,스타파크아파트,4,1,59.23,서울 광진구,80-37,11215,8,,
"13,000",직거래,2014,2024,,24.04.12,개인,개인,화양동,광진코지웰,4,1,15.63,,113-1,11215,12,,
"16,300",중개거래,2017,2024,,,개인,개인,화양동,씨즈건대힐스,4,8,14.23,서울 광진구,530,11215,7,,
"59,500",중개거래,1992,2024,,,개인,개인,전농동,전농우성,4,4,59.78,서울 동대문구,6,11230,4,,
"48,500",중개거래,1992,2024,,,개인,개인,답십리동,동답한신,4,6,44.35,서울 성동구,42,11230,4,,
"21,600",직거래,2020,2024,,24.04.03,개인,개인,장안동,에스아이팰리스장안센텀,4,2,13.083,,416-1,11230,11,,
"58,300",중개거래,2000,2024,,,개인,개인,이문동,현대,4,6,59.92,서울 동대문구,54,11230,8,,
"57,000",중개거래,1997,2024,,,개인,개인,이문동,삼익,4,6,59.95,서울 동대문구,73,11230,19,,
"8,900",중개거래,2013,2024,,,개인,개인,면목동,신영,4,2,16.93,서울 중랑구,538,11260,8,,
"55,000",직거래,2004,2024,,,개인,개인,면목동,리치카운티,4,4,84.741,,1505,11260,3,,
"30,000",중개거래,2019,2024,,,개인,개인,면목동,한양수자인사가정파크,4,10,23.1074,서울 중랑구,1543,11260,1,,
"40,700",중개거래,1988,2024,,,개인,개인,면목동,면목한신,4,11,44.5,서울 중랑구,193-1,11260,13,,
"17,200",중개거래,2018,2024,,,개인,개인,상봉동,상봉어반뷰,4,5,18.45,서울 중랑구,113,11260,16,,
"56,000",중개거래,1996,2024,,,개인,개인,상봉동,건영2차아파트,4,12,57.3,서울 중랑구,63,11260,7,,
"37,000",중개거래,1996,2024,,,개인,개인,묵동,신내,4,3,39.84,서울 중랑구,13,11260,9,,
"54,500",중개거래,1999,2024,,,개인,개인,묵동,신안1,4,10,59.96,서울 중랑구,381,11260,12,,
"48,000",중개거래,2005,2024,,,개인,개인,망우동,한울네세창,4,2,84.76,서울 중랑구,579,11260,1,,
"22,500",중개거래,2012,2024,,,개인,개인,망우동,예원캐슬,4,15,33.94,서울 중랑구,508-34,11260,7,,
"56,000",중개거래,2000,2024,,,개인,개인,신내동,벽산,4,3,84.93,서울 중랑구,437,11260,15,,
"49,500",중개거래,1996,2024,,,개인,개인,신내동,신내6대주,4,4,49.77,서울 중랑구,650,11260,10,,
"30,000",중개거래,1989,2024,,,개인,개인,신내동,경원,4,6,59.4,서울 중랑구,449-1,11260,4,,
"42,000",중개거래,1997,2024,,,개인,개인,신내동,석탑,4,6,59.82,서울 중랑구,787,11260,22,,
"58,000",중개거래,1994,2024,,,개인,개인,신내동,성원,4,7,84.32,서울 중랑구,783,11260,10,,
"54,000",중개거래,1998,2024,,,개인,개인,돈암동,한진(609-1),4,1,59.58,서울 성북구,609-1,11290,19,,
"54,000",중개거래,1998,2024,,,개인,개인,돈암동,한진(609-1),4,2,59.58,서울 성북구,609-1,11290,14,,
"59,950",중개거래,2005,2024,,,개인,개인,돈암동,일신건영휴먼빌아파트,4,10,59.52,서울 성북구,524,11290,5,,
